ENTREZ,Sample,CellType,Rep,counts,count_total
379,CD34_2,CD34,2,181,360
381,CD34_2,CD34,2,1159,3689
382,CD34_2,CD34,2,1746,8553
383,CD34_2,CD34,2,40,2456
384,CD34_2,CD34,2,118,11337
387,CD34_2,CD34,2,7405,19989
388,CD34_2,CD34,2,5090,17929
389,CD34_2,CD34,2,2313,5220
390,CD34_2,CD34,2,395,1399
391,CD34_2,CD34,2,1176,2955
392,CD34_2,CD34,2,786,2688
393,CD34_2,CD34,2,1540,4630
394,CD34_2,CD34,2,1062,3185
395,CD34_2,CD34,2,123,538
396,CD34_2,CD34,2,4723,12097
397,CD34_2,CD34,2,11265,24710
399,CD34_2,CD34,2,422,658
400,CD34_2,CD34,2,806,2197
402,CD34_2,CD34,2,496,1298
403,CD34_2,CD34,2,166,484
405,CD34_2,CD34,2,1004,4121
406,CD34_2,CD34,2,87,592
407,CD34_2,CD34,2,2,8
408,CD34_2,CD34,2,1523,4091
409,CD34_2,CD34,2,1356,5881
410,CD34_2,CD34,2,215,922
411,CD34_2,CD34,2,441,1618
412,CD34_2,CD34,2,138,512
414,CD34_2,CD34,2,396,936
415,CD34_2,CD34,2,13,33
416,CD34_2,CD34,2,4,7
419,CD34_2,CD34,2,2,20
420,CD34_2,CD34,2,94,2588
421,CD34_2,CD34,2,93,769
427,CD34_2,CD34,2,1729,19243
429,CD34_2,CD34,2,2,2
430,CD34_2,CD34,2,22,69
432,CD34_2,CD34,2,55,119
433,CD34_2,CD34,2,26,64
434,CD34_2,CD34,2,2,4
435,CD34_2,CD34,2,284,877
440,CD34_2,CD34,2,111,3323
443,CD34_2,CD34,2,4,9
444,CD34_2,CD34,2,747,2495
445,CD34_2,CD34,2,90,222
460,CD34_2,CD34,2,68,102
462,CD34_2,CD34,2,31,102
463,CD34_2,CD34,2,492,1925
466,CD34_2,CD34,2,393,1629
467,CD34_2,CD34,2,2130,5056
468,CD34_2,CD34,2,5307,21313
471,CD34_2,CD34,2,1392,3488
472,CD34_2,CD34,2,739,2894
473,CD34_2,CD34,2,1901,7633
475,CD34_2,CD34,2,467,868
476,CD34_2,CD34,2,4202,14023
477,CD34_2,CD34,2,26,44
478,CD34_2,CD34,2,67,266
479,CD34_2,CD34,2,4,21
480,CD34_2,CD34,2,11,26
481,CD34_2,CD34,2,1017,3006
482,CD34_2,CD34,2,75,3284
483,CD34_2,CD34,2,1789,5459
486,CD34_2,CD34,2,18,65
487,CD34_2,CD34,2,19,84
488,CD34_2,CD34,2,2925,8841
489,CD34_2,CD34,2,3188,6814
490,CD34_2,CD34,2,913,4451
491,CD34_2,CD34,2,4,17
492,CD34_2,CD34,2,6,10
493,CD34_2,CD34,2,3053,12392
350,ORTHO_2,ORTHO,2,0,307
351,ORTHO_2,ORTHO,2,39,26580
353,ORTHO_2,ORTHO,2,86,2471
355,ORTHO_2,ORTHO,2,16,569
356,ORTHO_2,ORTHO,2,0,2
357,ORTHO_2,ORTHO,2,0,560
358,ORTHO_2,ORTHO,2,4051,7445
359,ORTHO_2,ORTHO,2,0,13
360,ORTHO_2,ORTHO,2,1114,1982
361,ORTHO_2,ORTHO,2,0,1
362,ORTHO_2,ORTHO,2,0,19
363,ORTHO_2,ORTHO,2,1,25
364,ORTHO_2,ORTHO,2,0,8
366,ORTHO_2,ORTHO,2,0,7
367,ORTHO_2,ORTHO,2,1,94
369,ORTHO_2,ORTHO,2,478,3549
372,ORTHO_2,ORTHO,2,771,8205
373,ORTHO_2,ORTHO,2,795,1850
374,ORTHO_2,ORTHO,2,2,221
375,ORTHO_2,ORTHO,2,4328,20423
377,ORTHO_2,ORTHO,2,11,6071
378,ORTHO_2,ORTHO,2,2975,11426
379,ORTHO_2,ORTHO,2,0,360
381,ORTHO_2,ORTHO,2,339,3689
382,ORTHO_2,ORTHO,2,1668,8553
383,ORTHO_2,ORTHO,2,721,2456
384,ORTHO_2,ORTHO,2,94,11337
387,ORTHO_2,ORTHO,2,1228,19989
388,ORTHO_2,ORTHO,2,70,17929
389,ORTHO_2,ORTHO,2,5,5220
390,ORTHO_2,ORTHO,2,0,1399
391,ORTHO_2,ORTHO,2,164,2955
392,ORTHO_2,ORTHO,2,71,2688
393,ORTHO_2,ORTHO,2,3,4630
394,ORTHO_2,ORTHO,2,134,3185
395,ORTHO_2,ORTHO,2,0,538
396,ORTHO_2,ORTHO,2,169,12097
397,ORTHO_2,ORTHO,2,38,24710
399,ORTHO_2,ORTHO,2,2,658
400,ORTHO_2,ORTHO,2,56,2197
402,ORTHO_2,ORTHO,2,80,1298
403,ORTHO_2,ORTHO,2,4,484
405,ORTHO_2,ORTHO,2,812,4121
406,ORTHO_2,ORTHO,2,35,592
407,ORTHO_2,ORTHO,2,1,8
408,ORTHO_2,ORTHO,2,6,4091
409,ORTHO_2,ORTHO,2,226,5881
410,ORTHO_2,ORTHO,2,77,922
411,ORTHO_2,ORTHO,2,131,1618
412,ORTHO_2,ORTHO,2,17,512
414,ORTHO_2,ORTHO,2,9,936
415,ORTHO_2,ORTHO,2,0,33
416,ORTHO_2,ORTHO,2,0,7
419,ORTHO_2,ORTHO,2,7,20
420,ORTHO_2,ORTHO,2,1217,2588
421,ORTHO_2,ORTHO,2,208,769
427,ORTHO_2,ORTHO,2,926,19243
429,ORTHO_2,ORTHO,2,0,2
430,ORTHO_2,ORTHO,2,0,69
432,ORTHO_2,ORTHO,2,1,119
433,ORTHO_2,ORTHO,2,0,64
434,ORTHO_2,ORTHO,2,0,4
435,ORTHO_2,ORTHO,2,34,877
440,ORTHO_2,ORTHO,2,535,3323
443,ORTHO_2,ORTHO,2,0,9
444,ORTHO_2,ORTHO,2,14,2495
445,ORTHO_2,ORTHO,2,1,222
460,ORTHO_2,ORTHO,2,0,102
462,ORTHO_2,ORTHO,2,1,102
463,ORTHO_2,ORTHO,2,71,1925
466,ORTHO_2,ORTHO,2,218,1629
467,ORTHO_2,ORTHO,2,18,5056
468,ORTHO_2,ORTHO,2,1883,21313
471,ORTHO_2,ORTHO,2,53,3488
472,ORTHO_2,ORTHO,2,138,2894
473,ORTHO_2,ORTHO,2,776,7633
475,ORTHO_2,ORTHO,2,34,868
476,ORTHO_2,ORTHO,2,1416,14023
477,ORTHO_2,ORTHO,2,2,44
478,ORTHO_2,ORTHO,2,0,266
479,ORTHO_2,ORTHO,2,0,21
480,ORTHO_2,ORTHO,2,1,26
481,ORTHO_2,ORTHO,2,34,3006
482,ORTHO_2,ORTHO,2,1660,3284
483,ORTHO_2,ORTHO,2,1141,5459
486,ORTHO_2,ORTHO,2,0,65
487,ORTHO_2,ORTHO,2,3,84
488,ORTHO_2,ORTHO,2,269,8841
489,ORTHO_2,ORTHO,2,8,6814
490,ORTHO_2,ORTHO,2,665,4451
491,ORTHO_2,ORTHO,2,0,17
492,ORTHO_2,ORTHO,2,0,10
493,ORTHO_2,ORTHO,2,743,12392
